"млн лет назад","T anomaly"
1.2035,-2.89
1.2046,-2.73
1.2056,-2.92
1.2065,-2.84
1.2078,-2.99
1.209,-2.94
1.2102,-3.04
1.2112,-3.14
1.2123,-3.31
1.2133,-2.97
1.2143,-2.67
1.2155,-2.56
1.2165,-2.05
1.2176,-1.79
1.2184,-1.63
1.2194,-1.88
1.2207,-1.66
1.2219,-1.6
1.2232,-1.29
1.2247,-1.15
1.2259,-0.75
1.2271,-0.36
1.2287,-0.11
1.2299,-0.01
1.2311,0.28
1.2327,0.66
1.2339,0.4
1.2355,0.38
1.2371,0.29
1.2385,0.16
1.2402,0.13
1.2418,-0.37
1.2426,-0.67
1.2442,-1.3
1.2456,-1.72
1.2466,-2.42
1.2477,-2.55
1.2493,-2.91
1.2501,-2.68
1.251,-2.96
1.2518,-2.75
1.2526,-2.78
1.2532,-2.83
1.254,-2.85
1.2549,-2.68
1.2559,-2.44
1.2572,-2.08
1.2582,-1.91
1.2598,-1.78
1.2612,-1.59
1.263,-1.78
1.2645,-1.75
1.2661,-1.54
1.2673,-1.16
1.2689,-1.08
1.2699,-0.95
1.2714,-0.69
1.2729,-0.77
1.2741,-1.01
1.2755,-0.78
1.2771,-0.81
1.2785,-1.13
1.2801,-1.13
1.2817,-1.28
1.2829,-1.49
1.284,-1.53
1.2852,-1.67
1.2863,-1.94
1.2877,-2.17
1.289,-2.53
1.2904,-2.73
1.2914,-2.78
1.2928,-2.6
1.2939,-2.41
1.2955,-2.31
1.2971,-2.2
1.2987,-1.84
1.3002,-1.62
1.3017,-1.59
1.3028,-1.23
1.3044,-1.22
1.3061,-1.16
1.3077,-1.29
1.3098,-1.28
1.3117,-1.36
1.3133,-1.26
1.3149,-1.46
1.3165,-1.45
1.3177,-1.48
1.3195,-1.29
1.3211,-1.43
1.323,-1.53
1.3244,-1.59
1.3259,-1.65
1.3272,-1.88
1.3288,-1.91
1.3301,-1.96
1.3319,-2.18
1.3335,-2.18
1.3348,-2.46
1.336,-2.47
1.3373,-2.41
1.3383,-2.06
1.3396,-1.71
1.3411,-1.27
1.3423,-1.13
1.3435,-0.86
1.3449,-0.79
1.3464,-0.62
1.348,-0.59
1.3501,-0.14
1.3519,0.14
1.3535,0.19
1.3552,0.09
1.3566,0.23
1.3578,-0.11
1.3592,-0.48
1.3606,-0.62
1.3615,-0.89
1.3625,-1.33
1.3635,-1.58
1.3644,-1.87
1.3652,-1.8
1.3661,-1.98
1.3671,-2.1
1.3681,-2.14
1.3692,-2.17
1.3702,-2.46
1.3716,-2.21
1.373,-2.1
1.3742,-2.07
1.3757,-1.77
1.3773,-1.65
1.3787,-1.99
1.3803,-1.81
1.3821,-1.47
1.3836,-1.4
1.3852,-1.26
1.3868,-0.34
1.388,-0.21
1.3894,-0.29
1.3906,-0.43
1.3921,-0.25
1.3933,-0.82
1.3949,-0.52
1.3965,-0.53
1.398,-0.37
1.3995,-0.27
1.4011,-0.29
1.4027,-0.92
1.4043,-0.81
1.4058,-0.92
1.4075,-1.47
1.4091,-1.62
1.4105,-1.59
1.4121,-1.89
1.4141,-2.13
1.4158,-2
1.4176,-1.94
1.4198,-1.89
1.4215,-1.95
1.4229,-2.01
1.4245,-1.97
1.4264,-1.45
1.428,-0.99
1.4294,-0.76
1.4312,-0.25
1.4324,-0.11
1.4336,-0.44
1.4346,-0.59
1.4362,-0.45
1.4375,-0.34
1.4395,-0.19
1.4411,-0.1
1.4429,-0.04
1.4442,0.04
1.4457,0.08
1.4465,0.04
1.4479,0.09
1.4491,-0.04
1.4504,-0.13
1.4518,-0.21
1.4534,-0.28
1.4545,-0.71
1.4558,-1.15
1.457,-1.66
1.4579,-2.03
1.4587,-2.26
1.4596,-2.46
1.4604,-2.51
1.4614,-2.4
1.4624,-2.51
1.4634,-2.64
1.4647,-2.16
1.4659,-2.03
1.4669,-1.84
1.4684,-1.61
1.47,-1.74
1.4716,-1.67
1.4734,-1.56
1.4752,-1.24
1.4768,-1.11
1.479,-0.55
1.4808,-0.44
1.483,-0.1
1.485,-0.08
1.4866,-0.06
1.4882,-0.31
1.4898,-0.38
1.4908,-0.67
1.4924,-0.91
1.494,-1.32
1.4948,-1.45
1.496,-2.18
1.4974,-2.41
1.4983,-2.75
1.4997,-2.65
1.5011,-2.8
1.5021,-2.65
1.5033,-2.52
1.5048,-2.28
1.5058,-2.48
1.507,-2.52
1.5085,-2.44
1.5097,-2.56
1.5107,-2.43
1.5119,-2.24
1.5134,-2.03
1.5143,-1.8
1.5151,-1.67
1.516,-1.89
1.5171,-1.76
1.518,-1.5
1.5194,-1.36
1.521,-1.2
1.5225,-0.92
1.5238,-0.85
1.5253,-0.84
1.5262,-1.01
1.5278,-1.64
1.5292,-1.92
1.5307,-2.28
1.5323,-2.62
1.5345,-2.6
1.536,-2.37
1.5376,-2.57
1.5395,-2.54
1.5409,-2.51
1.5419,-2.77
1.5434,-2.57
1.545,-2.43
1.5462,-2.35
1.5475,-2.21
1.5491,-1.97
1.5507,-1.87
1.5523,-1.76
1.5537,-1.52
1.5552,-1.39
1.5564,-1.2
1.5574,-0.98
1.5584,-0.71
1.5598,-0.48
1.5612,-0.36
1.5624,-0.41
1.5637,-0.41
1.5648,-0.66
1.5658,-0.85
1.5666,-1.05
1.568,-1.19
1.569,-1.45
1.57,-1.53
1.571,-1.86
1.5726,-2
1.5738,-2.3
1.5753,-2.14
1.5769,-2.34
1.5783,-2.3
1.5796,-2.37
1.5811,-2.14
1.5825,-2.33
1.5841,-2.42
1.5857,-2.28
1.5871,-2.13
1.5887,-1.99
1.5901,-1.79
1.5917,-1.3
1.5937,-1.01
1.5957,-1.01
1.5973,-0.87
1.5989,-0.99
1.6001,-0.86
1.6013,-0.89
1.6026,-0.73
1.6039,-0.69
1.6053,-0.38
1.6073,-0.37
1.609,-0.44
1.6108,-0.57
1.6127,-0.67
1.6143,-0.75
1.6157,-0.99
1.617,-1.06
1.618,-0.99
1.6192,-0.94
1.6205,-1.19
1.6215,-1.19
1.6229,-1.17
1.6243,-1.28
1.6255,-1.52
1.6269,-1.42
1.6285,-1.45
1.6298,-1.59
