"ky before 2015","T anomaly"
29.165,-6.84
29.215,-6.84
29.215,-7.93
29.265,-7.93
29.265,-7
29.315,-7
29.315,-7.49
29.365,-7.49
29.365,-6.87
29.415,-6.87
29.415,-6.69
29.465,-6.69
29.465,-6.81
29.515,-6.81
29.515,-6.96
29.565,-6.96
29.565,-6.62
29.615,-6.62
29.615,-6.56
29.665,-6.56
29.665,-7.19
29.715,-7.19
29.715,-6.93
29.765,-6.93
29.765,-7.4
29.815,-7.4
29.815,-6.74
29.865,-6.74
29.865,-6.85
29.915,-6.85
29.915,-7.39
29.965,-7.39
29.965,-6.38
30.015,-6.38
30.015,-6.6
30.065,-6.6
30.065,-7.23
30.115,-7.23
30.115,-6.4
30.165,-6.4
30.165,-6.09
30.215,-6.09
30.215,-6.45
30.265,-6.45
30.265,-5.25
30.315,-5.25
30.315,-5.36
30.365,-5.36
30.365,-5.83
30.415,-5.83
30.415,-6.46
30.465,-6.46
30.465,-5.92
30.515,-5.92
30.515,-6.31
30.565,-6.31
30.565,-6.75
30.615,-6.75
30.615,-6.73
30.665,-6.73
30.665,-6.32
30.715,-6.32
30.715,-6.49
30.765,-6.49
30.765,-6.26
30.815,-6.26
30.815,-6.04
30.865,-6.04
30.865,-6.79
30.915,-6.79
30.915,-6.67
30.965,-6.67
30.965,-5.99
31.015,-5.99
31.015,-6.38
31.065,-6.38
31.065,-6.73
31.115,-6.73
31.115,-6.17
31.165,-6.17
31.165,-5.89
31.215,-5.89
31.215,-6.87
31.265,-6.87
31.265,-6.34
31.315,-6.34
31.315,-6.59
31.365,-6.59
31.365,-6.54
31.415,-6.54
31.415,-5.9
31.465,-5.9
31.465,-6.34
31.515,-6.34
31.515,-6.12
31.565,-6.12
31.565,-6.63
31.615,-6.63
31.615,-6.31
31.665,-6.31
31.665,-6.54
31.715,-6.54
31.715,-6.13
31.765,-6.13
31.765,-6.25
31.815,-6.25
31.815,-4.75
31.865,-4.75
31.865,-4.86
31.915,-4.86
31.915,-4.04
31.965,-4.04
31.965,-3.81
32.015,-3.81
32.015,-3.91
32.065,-3.91
32.065,-3.89
32.115,-3.89
32.115,-3.54
32.165,-3.54
32.165,-3.5
32.215,-3.5
32.215,-2.78
32.265,-2.78
32.265,-5.29
32.315,-5.29
32.315,-6.51
32.365,-6.51
32.365,-6.43
32.415,-6.43
32.415,-6.71
32.465,-6.71
32.465,-6.77
32.515,-6.77
32.515,-6.4
32.565,-6.4
32.565,-6.7
32.615,-6.7
32.615,-7.09
32.665,-7.09
32.665,-7.43
32.715,-7.43
32.715,-6.46
32.765,-6.46
32.765,-5.81
32.815,-5.81
32.815,-6.19
32.865,-6.19
32.865,-6.34
32.915,-6.34
32.915,-6.43
32.965,-6.43
32.965,-6.02
33.015,-6.02
33.015,-5.99
33.065,-5.99
33.065,-6.25
33.115,-6.25
33.115,-6.72
33.165,-6.72
33.165,-5.93
33.215,-5.93
33.215,-4.41
33.265,-4.41
33.265,-3.87
33.315,-3.87
33.315,-3.53
33.365,-3.53
33.365,-3.34
33.415,-3.34
33.415,-3.46
33.465,-3.46
33.465,-3.43
33.515,-3.43
33.515,-2.87
33.565,-2.87
33.565,-4.37
33.615,-4.37
33.615,-5.01
33.665,-5.01
33.665,-5.6
33.715,-5.6
33.715,-5.63
33.765,-5.63
33.765,-6.02
33.815,-6.02
33.815,-6.07
33.865,-6.07
33.865,-5.45
33.915,-5.45
33.915,-5.77
33.965,-5.77
33.965,-5.62
34.015,-5.62
34.015,-5.72
34.065,-5.72
34.065,-5.52
34.115,-5.52
34.115,-6.11
34.165,-6.11
34.165,-5.9
34.215,-5.9
34.215,-5.69
34.265,-5.69
34.265,-5.54
34.315,-5.54
34.315,-5.81
34.365,-5.81
34.365,-6.11
34.415,-6.11
34.415,-5.81
34.465,-5.81
34.465,-5.03
34.515,-5.03
34.515,-5.23
34.565,-5.23
34.565,-3.63
34.615,-3.63
34.615,-3.96
34.665,-3.96
34.665,-3.89
34.715,-3.89
34.715,-4.16
34.765,-4.16
34.765,-4.46
34.815,-4.46
34.815,-4.33
34.865,-4.33
34.865,-3.81
34.915,-3.81
34.915,-3.1
34.965,-3.1
34.965,-3.72
35.015,-3.72
35.015,-3.34
35.065,-3.34
35.065,-3.44
35.115,-3.44
35.115,-3.11
35.165,-3.11
35.165,-3.22
35.215,-3.22
35.215,-3.02
35.265,-3.02
35.265,-2.68
35.315,-2.68
35.315,-2.57
35.365,-2.57
35.365,-3.49
35.415,-3.49
35.415,-5.54
35.465,-5.54
35.465,-5.63
35.515,-5.63
35.515,-5.7
35.565,-5.7
35.565,-5.53
35.615,-5.53
35.615,-5.04
35.665,-5.04
35.665,-5.51
35.715,-5.51
35.715,-6.15
35.765,-6.15
35.765,-6.96
35.815,-6.96
35.815,-6.96
35.865,-6.96
35.865,-5.52
35.915,-5.52
35.915,-5.93
35.965,-5.93
35.965,-6.07
36.015,-6.07
36.015,-5.78
36.065,-5.78
36.065,-5.69
36.115,-5.69
36.115,-5.4
36.165,-5.4
36.165,-5.64
36.215,-5.64
36.215,-6.07
36.265,-6.07
36.265,-5.74
36.315,-5.74
36.315,-5.08
36.365,-5.08
36.365,-5.87
36.415,-5.87
36.415,-5.17
36.465,-5.17
36.465,-4.9
36.515,-4.9
36.515,-6
36.565,-6
36.565,-5.24
36.615,-5.24
36.615,-4.2
36.665,-4.2
36.665,-4.37
36.715,-4.37
36.715,-4.4
36.765,-4.4
36.765,-4.53
36.815,-4.53
36.815,-3.89
36.865,-3.89
36.865,-4.74
36.915,-4.74
36.915,-4.57
36.965,-4.57
36.965,-4.72
37.015,-4.72
37.015,-4.34
37.065,-4.34
37.065,-4.58
37.115,-4.58
37.115,-4.31
37.165,-4.31
37.165,-3.75
37.215,-3.75
37.215,-3.6
37.265,-3.6
37.265,-3.28
37.315,-3.28
37.315,-3.54
37.365,-3.54
37.365,-3.05
37.415,-3.05
37.415,-3.81
37.465,-3.81
37.465,-3.75
37.515,-3.75
37.515,-2.67
37.565,-2.67
37.565,-3.05
37.615,-3.05
37.615,-2.65
37.665,-2.65
37.665,-2.96
37.715,-2.96
37.715,-2.77
37.765,-2.77
37.765,-2.63
37.815,-2.63
37.815,-2.87
37.865,-2.87
37.865,-2.93
37.915,-2.93
37.915,-2.87
37.965,-2.87
37.965,-3.15
38.015,-3.15
38.015,-2.88
38.065,-2.88
38.065,-2.57
38.115,-2.57
38.115,-2.47
38.165,-2.47
38.165,-2.82
38.215,-2.82
38.215,-2.25
38.265,-2.25
38.265,-2.19
38.315,-2.19
38.315,-2.84
38.365,-2.84
38.365,-4.9
38.415,-4.9
38.415,-5.31
38.465,-5.31
38.465,-5.66
38.515,-5.66
38.515,-5.28
38.565,-5.28
38.565,-5.19
38.615,-5.19
38.615,-5.65
38.665,-5.65
38.665,-5.69
38.715,-5.69
38.715,-5.61
38.765,-5.61
38.765,-5.66
38.815,-5.66
38.815,-6.36
38.865,-6.36
38.865,-5.99
38.915,-5.99
38.915,-5.97
38.965,-5.97
38.965,-5.9
39.015,-5.9
39.015,-5.55
39.065,-5.55
39.065,-5.46
39.115,-5.46
39.115,-5.16
39.165,-5.16
39.165,-6.51
39.215,-6.51
39.215,-6.23
39.265,-6.23
39.265,-6.69
39.315,-6.69
39.315,-5.87
39.365,-5.87
39.365,-6.03
39.415,-6.03
39.415,-6.29
39.465,-6.29
39.465,-6.09
39.515,-6.09
39.515,-5.85
39.565,-5.85
39.565,-6.25
39.615,-6.25
39.615,-5.57
39.665,-5.57
