"н.э.","T anomaly"
732,-0.1349
733,-0.2493
734,-0.2329
735,-0.2352
736,-0.2517
737,-0.2504
738,-0.2397
739,-0.2491
740,-0.2909
741,-0.1746
742,-0.1366
743,-0.2914
744,-0.1779
745,-0.1611
746,-0.1147
747,-0.1099
748,-0.104
749,-0.1487
750,-0.1658
751,-0.1996
752,-0.2452
753,-0.1856
754,-0.1537
755,-0.0633
756,-0.1255
757,-0.134
758,-0.0348
759,-0.0952
760,-0.1892
761,-0.2331
762,-0.174
763,-0.0361
764,0.0512
765,0.0172
766,-0.0918
767,-0.1279
768,-0.1289
769,-0.1064
770,-0.0742
771,-0.0612
772,-0.2099
773,-0.2243
774,-0.1424
775,-0.1398
776,-0.1777
777,-0.1896
778,-0.1575
779,-0.1962
780,-0.2299
781,-0.2215
782,-0.2027
783,-0.1819
784,-0.2217
785,-0.2188
786,-0.2448
787,-0.1969
788,-0.2972
789,-0.2953
790,-0.2374
791,-0.2161
792,-0.1949
793,-0.1637
794,-0.1855
795,-0.2259
796,-0.2052
797,-0.1997
798,-0.1541
799,-0.1916
800,-0.291
801,-0.2659
802,-0.2502
803,-0.2603
804,-0.25
805,-0.2398
806,-0.2384
807,-0.2828
808,-0.216
809,-0.277
810,-0.3002
811,-0.1677
812,-0.155
813,-0.1741
814,-0.2221
815,-0.2179
816,-0.16
817,-0.2145
818,-0.1379
819,-0.1081
820,-0.1605
821,-0.1986
822,-0.209
823,-0.2363
824,-0.354
825,-0.2606
826,-0.2327
827,-0.2148
828,-0.1984
829,-0.2087
830,-0.2088
831,-0.2229
832,-0.1151
833,-0.1199
834,-0.2067
835,-0.2105
836,-0.2387
837,-0.2088
838,-0.2039
839,-0.2104
840,-0.1929
841,-0.2313
842,-0.1395
843,-0.0947
844,-0.1479
845,-0.1237
846,-0.1719
847,-0.2405
848,-0.2178
849,-0.2287
850,-0.1657
851,-0.2591
852,-0.2876
853,-0.2374
854,-0.3169
855,-0.2751
856,-0.2904
857,-0.3359
858,-0.2859
859,-0.2708
860,-0.3764
861,-0.3336
862,-0.2836
863,-0.2732
864,-0.2498
865,-0.378
866,-0.2939
867,-0.2856
868,-0.2269
869,-0.2415
870,-0.2452
871,-0.2779
872,-0.2191
873,-0.1317
874,-0.239
875,-0.1268
876,-0.1307
877,-0.2667
878,-0.0864
879,-0.0888
880,-0.0629
881,-0.0953
882,-0.0117
883,-0.0997
884,-0.2467
885,-0.0747
886,-0.1395
887,-0.0484
888,-0.198
889,-0.1317
890,-0.1615
891,-0.0955
892,-0.1242
893,-0.2116
894,-0.1358
895,-0.1365
896,-0.2412
897,-0.1568
898,-0.2343
899,-0.2573
900,-0.3581
901,-0.2466
902,-0.2998
903,-0.3519
904,-0.2393
905,-0.2409
906,-0.2356
907,-0.2546
908,-0.1895
909,-0.195
910,-0.2555
911,-0.2269
912,-0.1198
913,-0.2108
914,-0.2405
915,-0.141
916,-0.259
917,-0.2288
918,-0.2263
919,-0.194
920,-0.2039
921,-0.1844
922,-0.2248
923,-0.1852
924,-0.2335
925,-0.1918
926,-0.0562
927,-0.1644
928,-0.1408
929,-0.0725
930,-0.0678
931,-0.1527
932,-0.0819
933,-0.1175
934,-0.1019
935,-0.1423
936,-0.0683
937,-0.0853
938,-0.1349
939,-0.1537
940,-0.2834
941,-0.1699
942,-0.2119
943,-0.2033
944,-0.197
945,-0.1536
946,-0.1385
947,-0.1838
948,-0.1533
949,-0.122
950,-0.2118
951,-0.1979
952,-0.2269
953,-0.1967
954,-0.246
955,-0.208
956,-0.1654
957,-0.1921
958,-0.3509
959,-0.1679
960,-0.2057
961,-0.3206
962,-0.2064
963,-0.1404
964,-0.1389
965,-0.1694
966,-0.1124
967,-0.2219
968,-0.0964
969,-0.1548
970,-0.1826
971,-0.1849
972,-0.0881
973,-0.255
974,-0.1778
975,-0.2013
976,-0.3019
977,-0.1865
978,-0.1429
979,-0.2342
980,-0.2077
981,-0.3009
982,-0.1459
983,-0.1942
984,-0.211
985,-0.1959
986,-0.1566
987,-0.1909
988,-0.2108
989,-0.2479
990,-0.2571
991,-0.2288
992,-0.1861
993,-0.1724
994,-0.1666
995,-0.1848
996,-0.2551
997,-0.2098
998,-0.1988
999,-0.1985
1000,-0.2198
1001,-0.2443
1002,-0.1904
1003,-0.2479
1004,-0.23
1005,-0.1992
1006,-0.2419
1007,-0.2128
1008,-0.2498
1009,-0.2139
1010,-0.2051
1011,-0.2799
1012,-0.286
1013,-0.1869
1014,-0.2208
1015,-0.2637
1016,-0.2566
1017,-0.2769
1018,-0.1537
1019,-0.1452
1020,-0.2064
1021,-0.2649
1022,-0.245
1023,-0.2022
1024,-0.2394
1025,-0.1663
1026,-0.2737
1027,-0.2012
1028,-0.1918
1029,-0.2193
1030,-0.1698
1031,-0.1904
1032,-0.2681
1033,-0.1622
1034,-0.2008
1035,-0.2559
1036,-0.158
1037,-0.1791
1038,-0.1426
1039,-0.1698
1040,-0.2152
1041,-0.2552
1042,-0.2459
1043,-0.2183
1044,-0.2221
1045,-0.24
1046,-0.3378
1047,-0.2315
1048,-0.2298
1049,-0.204
1050,-0.1992
1051,-0.1388
1052,-0.1811
1053,-0.2198
1054,-0.2193
1055,-0.2444
1056,-0.3204
1057,-0.229
1058,-0.3018
1059,-0.3239
1060,-0.2126
1061,-0.1239
1062,-0.1491
1063,-0.2275
1064,-0.2045
1065,-0.2818
1066,-0.1778
1067,-0.2681
1068,-0.2892
1069,-0.3197
1070,-0.3152
1071,-0.2729
1072,-0.1934
1073,-0.2341
1074,-0.2538
1075,-0.2067
1076,-0.2181
1077,-0.2189
1078,-0.2693
1079,-0.1825
1080,-0.1162
1081,-0.128
1082,-0.1454
