"ky before 2015","T anomaly"
46.492,-2.425
46.531,-2.285
46.569,-2.015
46.607,-2.82
46.648,-2.755
46.689,-2.525
46.731,-2.84
46.772,-2.625
46.813,-3.29
46.859,-3.245
46.905,-3.43
46.95,-2.94
46.995,-3.22
47.04,-3.22
47.085,-3.085
47.13,-3.375
47.176,-3.4
47.223,-3.12
47.268,-3.22
47.311,-2.485
47.354,-3.335
47.399,-3.32
47.445,-3.575
47.493,-3.295
47.539,-3.485
47.587,-3.365
47.634,-3.5
47.681,-3.6
47.729,-3.12
47.775,-3.135
47.82,-3.565
47.868,-3.83
47.917,-3.325
47.965,-3.625
48.015,-4.47
48.07,-3.96
48.123,-4.01
48.176,-4.275
48.23,-3.97
48.282,-3.655
48.333,-3.995
48.383,-3.4
48.432,-3.315
48.479,-3.4
48.526,-3.655
48.575,-3.5
48.623,-4.255
48.678,-3.78
48.729,-3.465
48.777,-4.16
48.831,-4.085
48.884,-3.54
48.932,-3.505
48.98,-3.27
49.027,-3.785
49.077,-3.835
49.128,-3.795
49.18,-4.085
49.232,-3.64
49.283,-4.025
49.334,-3.82
49.387,-4.195
49.44,-3.68
49.491,-3.98
49.542,-3.58
49.591,-3.375
49.64,-3.77
49.689,-3.725
49.738,-3.05
49.786,-3.85
49.835,-3.835
49.885,-3.15
49.934,-3.835
49.983,-3.745
50.035,-4.09
50.087,-3.53
50.136,-3.32
50.183,-3.48
50.231,-3.25
50.277,-3.51
50.326,-3.765
50.376,-3.75
50.427,-3.53
50.476,-3.525
50.523,-2.82
50.568,-3.585
50.616,-3.715
50.667,-4.055
50.717,-3.125
50.766,-3.51
50.814,-3.74
50.863,-3.295
50.911,-3.75
50.961,-3.685
51.01,-3.345
51.058,-3.355
51.106,-3.92
51.157,-3.69
51.208,-3.69
51.258,-3.61
51.307,-3.475
51.356,-3.51
51.404,-3.385
51.452,-3.605
51.501,-3.305
51.548,-3.21
51.593,-2.99
51.64,-3.705
51.687,-3.285
51.736,-3.675
51.784,-3.055
51.83,-3.32
51.876,-2.745
51.919,-3.405
51.966,-3.13
52.012,-2.985
52.055,-2.31
52.097,-3.18
52.14,-2.62
52.182,-3.115
52.228,-3.635
52.277,-3.16
52.323,-3.43
52.37,-3.16
52.417,-3.375
